object,member,kind,signature,interface_gaps,status,evidence,note
ListColumn,Parent,"property, read-only",As Object,,PARTIAL,tests/fixtures/tables/tables.json,
ListColumn,Range,"property, read-only",As Range,,VERIFIED,tests/fixtures/tables/tables.json,
ListColumn,Total,"property, read-only",As Range,,MISSING,,
ListColumn,TotalsCalculation,property,As XlTotalsCalculation,,VERIFIED,tests/fixtures/tables/totals_row/totals_row.json,"Read and set, the totals row shown or hidden: each function its SUBTOTAL, None an empty cell, Custom an empty cell until a formula is written there; read back from a SUBTOTAL, a formula or a label written into the row."
ListColumn,XPath,"property, read-only",As XPath,,MISSING,,
ListColumns,_Default,"property, read-only",As ListColumn,,MISSING,,
ListColumns,_NewEnum,"property, read-only",As IUnknown,,MISSING,,
ListColumns,Add,method,Add([Position As Variant]) As ListColumn,,VERIFIED,tests/fixtures/tables/edits/edits.json,"At the end or at a position, named the first free ColumnN, the cells right of it in the table's rows moving across."
ListColumns,Application,"property, read-only",As Application,,MISSING,,
ListColumns,Count,"property, read-only",As Long,,VERIFIED,tests/fixtures/tables/tables.json,
ListColumns,Creator,"property, read-only",As XlCreator,,MISSING,,
ListColumns,Item,"property, read-only",As ListColumn,,VERIFIED,tests/fixtures/tables/tables.json,"By position or by name, error 9 for neither."
ListColumns,Parent,"property, read-only",As Object,,PARTIAL,tests/fixtures/tables/tables.json,
ListDrawingObject,Selected,not in the type library,,,PARTIAL,tests/fixtures/shapes/inline_controls.json; tests/fixtures/shapes/list_rebinding.json,
ListObject,_Default,"property, read-only",As String,,VERIFIED,tests/fixtures/tables/tables.json,The table's name.
ListObject,Active,"property, read-only",As Boolean,,MISSING,,
ListObject,AlternativeText,property,As String,,MISSING,,
ListObject,Application,"property, read-only",As Application,,MISSING,,
ListObject,AutoFilter,"property, read-only",As AutoFilter,,MISSING,,
ListObject,Comment,property,As String,,MISSING,,
ListObject,Creator,"property, read-only",As XlCreator,,MISSING,,
ListObject,DataBodyRange,"property, read-only",As Range,,VERIFIED,tests/fixtures/tables/tables.json,
ListObject,Delete,method,Delete(),,VERIFIED,tests/fixtures/tables/edits/edits.json,"The table's cells cleared, formats and all, and every reference to it #REF!."
ListObject,DisplayName,property,As String,,PARTIAL,tests/fixtures/tables/tables.json,"The table's name, as Name."
ListObject,DisplayRightToLeft,"property, read-only",As Boolean,,MISSING,,
ListObject,ExportToVisio,method,ExportToVisio(),,MISSING,,
ListObject,HeaderRowRange,"property, read-only",As Range,,VERIFIED,tests/fixtures/tables/tables.json,
ListObject,InsertRowRange,"property, read-only",As Range,,MISSING,,
ListObject,ListColumns,"property, read-only",As ListColumns,,VERIFIED,tests/fixtures/tables/tables.json,
ListObject,ListRows,"property, read-only",As ListRows,,VERIFIED,tests/fixtures/tables/tables.json,
ListObject,Name,property,As String,,PARTIAL,tests/fixtures/tables/tables.json; tests/fixtures/structured_references/structured.json,"Setting it renames the table and every formula naming it; a name that is taken or not a name is error 1004, which is not measured."
ListObject,Parent,"property, read-only",As Object,,VERIFIED,tests/fixtures/tables/tables.json,The sheet.
ListObject,Publish,method,"Publish(Target As Variant, LinkSource As Boolean) As String",,MISSING,,
ListObject,QueryTable,"property, read-only",As QueryTable,,MISSING,,
ListObject,Range,"property, read-only",As Range,,VERIFIED,tests/fixtures/tables/tables.json,
ListObject,Refresh,method,Refresh(),,MISSING,,
ListObject,Resize,method,Resize(Range As Range),,PARTIAL,tests/fixtures/tables/edits/edits.json,"Over a block with the same top-left cell: a column left out is #REF! wherever named, a new one named from its header; a block on another header row is error 1004. Moving the left edge, or a table with a totals row or no header row, reports itself."
ListObject,SharePointURL,"property, read-only",As String,,MISSING,,
ListObject,ShowAutoFilter,property,As Boolean,,PARTIAL,tests/fixtures/tables/tables.json,"Read and set, saved as Excel saves it."
ListObject,ShowAutoFilterDropDown,property,As Boolean,,MISSING,,
ListObject,ShowHeaders,property,As Boolean,,PARTIAL,tests/fixtures/tables/tables.json,Read; showing or hiding the header row reports itself.
ListObject,ShowTableStyleColumnStripes,property,As Boolean,,PARTIAL,tests/fixtures/tables/tables.json,"Read and set, saved as Excel saves it."
ListObject,ShowTableStyleFirstColumn,property,As Boolean,,PARTIAL,tests/fixtures/tables/tables.json,"Read and set, saved as Excel saves it."
ListObject,ShowTableStyleLastColumn,property,As Boolean,,PARTIAL,tests/fixtures/tables/tables.json,"Read and set, saved as Excel saves it."
ListObject,ShowTableStyleRowStripes,property,As Boolean,,PARTIAL,tests/fixtures/tables/tables.json,"Read and set, saved as Excel saves it."
ListObject,ShowTotals,property,As Boolean,,VERIFIED,tests/fixtures/tables/tables.json; tests/fixtures/tables/totals_row/totals_row.json,"Showing the row puts cells in under the table, those below moving down; the first time, the first column says Total and the last adds up, or counts when not all numbers; hiding deletes the cells and keeps what each column totals."
ListObject,Slicers,"property, read-only",As Slicers,,MISSING,,
ListObject,Sort,"property, read-only",As Sort,,MISSING,,
ListObject,SourceType,"property, read-only",As XlListObjectSourceType,,MISSING,,
ListObject,Summary,property,As String,,MISSING,,
ListObject,TableObject,"property, read-only",As TableObject,,MISSING,,
ListObject,TableStyle,property,As Variant,,PARTIAL,tests/fixtures/tables/tables.json,"Read and set, saved as Excel saves it."
ListObject,TotalsRowRange,"property, read-only",As Range,,VERIFIED,tests/fixtures/tables/tables.json,Nothing with no totals row.
ListObject,Unlink,method,Unlink(),,MISSING,,
ListObject,Unlist,method,Unlist(),,PARTIAL,tests/fixtures/tables/edits/edits.json,"Reports itself: Excel turns the table's style into each cell's format, which the model does not."
ListObject,XmlMap,"property, read-only",As XmlMap,,MISSING,,
ListObjects,_Default,"property, read-only",As ListObject,,MISSING,,
ListObjects,_NewEnum,"property, read-only",As IUnknown,,MISSING,,
ListObjects,Add,method,"Add([SourceType As XlListObjectSourceType], [Source As Variant], [LinkSource As Variant], [XlListObjectHasHeaders As XlYesNoGuess], [Destination As Variant], [TableStyleName As Variant]) As ListObject",,PARTIAL,tests/fixtures/tables/tables.json,"Over a range of the sheet: headers from its first row as text, a blank one ColumnN and a repeat numbered, or a header row put in above it; left to guess, text over data takes headers; the first free TableN, TableStyleMedium2; error 1004 over another table. Other sources, and a range over array formulas or merged cells, report themselves."
ListObjects,Application,"property, read-only",As Application,,MISSING,,
ListObjects,Count,"property, read-only",As Long,,VERIFIED,tests/fixtures/tables/tables.json,
ListObjects,Creator,"property, read-only",As XlCreator,,MISSING,,
ListObjects,Item,"property, read-only",As ListObject,,VERIFIED,tests/fixtures/tables/tables.json,"By position or by name, error 9 for neither."
ListObjects,Parent,"property, read-only",As Object,,PARTIAL,tests/fixtures/tables/tables.json,
ListRow,Application,"property, read-only",As Application,,MISSING,,
ListRow,Creator,"property, read-only",As XlCreator,,MISSING,,
ListRow,Delete,method,Delete(),,PARTIAL,tests/fixtures/tables/edits/edits.json,"The row's cells deleted, those under them moving up; deleting the only row of data reports itself."
ListRow,Index,"property, read-only",As Long,,VERIFIED,tests/fixtures/tables/tables.json,
ListRow,Parent,"property, read-only",As Object,,PARTIAL,tests/fixtures/tables/tables.json,
ListRow,Range,"property, read-only",As Range,,VERIFIED,tests/fixtures/tables/tables.json,
ListRows,_Default,"property, read-only",As ListRow,,MISSING,,
ListRows,_NewEnum,"property, read-only",As IUnknown,,MISSING,,
ListRows,Add,method,"Add([Position As Variant], [AlwaysInsert As Variant]) As ListRow",,VERIFIED,tests/fixtures/tables/edits/edits.json,"At the end, above a totals row, or at a position, the table's columns moving down; with AlwaysInsert False over an empty row the table takes the row. A calculated column fills the new row, and a reference to a column's rows stretches over it."
ListRows,Application,"property, read-only",As Application,,MISSING,,
ListRows,Count,"property, read-only",As Long,,VERIFIED,tests/fixtures/tables/tables.json,
ListRows,Creator,"property, read-only",As XlCreator,,MISSING,,
ListRows,Item,"property, read-only",As ListRow,,VERIFIED,tests/fixtures/tables/tables.json,Error 9 past the last row.
ListRows,Parent,"property, read-only",As Object,,PARTIAL,tests/fixtures/tables/tables.json,
Name,_Default,"property, read-only",As String,,MISSING,,
Name,Application,"property, read-only",As Application,,MISSING,,
Name,Category,property,As String,,MISSING,,
Name,CategoryLocal,property,As String,,MISSING,,
Name,Comment,property,As String,,PARTIAL,tests/fixtures/names_crud.json,
Name,Creator,"property, read-only",As XlCreator,,MISSING,,
Name,Delete,method,Delete(),,PARTIAL,tests/fixtures/names_crud.json,
Name,Index,"property, read-only",As Long,,MISSING,,
Name,MacroType,property,As XlXLMMacroType,,MISSING,,
Name,Name,property,As String,,PARTIAL,tests/fixtures/names_crud.json,
Name,NameLocal,property,As String,,UNASSESSED,,
Name,Parent,"property, read-only",As Object,,UNASSESSED,,
Name,RefersTo,property,As Variant,,PARTIAL,tests/fixtures/names_crud.json,
Name,RefersToLocal,property,As Variant,,UNASSESSED,,
Name,RefersToR1C1,property,As Variant,,PARTIAL,tests/fixtures/names_crud.json,
Name,RefersToR1C1Local,property,As Variant,,UNASSESSED,,
Name,RefersToRange,"property, read-only",As Range,,UNASSESSED,,
Name,ShortcutKey,property,As String,,MISSING,,
Name,ValidWorkbookParameter,"property, read-only",As Boolean,,MISSING,,
Name,Value,property,As String,,PARTIAL,tests/fixtures/names_crud.json,
Name,Visible,property,As Boolean,,PARTIAL,tests/fixtures/names_crud.json,
Name,WorkbookParameter,property,As Boolean,,MISSING,,
Names,_Default,method,"_Default([Index As Variant], [IndexLocal As Variant], [RefersTo As Variant]) As Name",,MISSING,,
Names,_NewEnum,"property, read-only",As IUnknown,,MISSING,,
Names,Add,method,"Add([Name As Variant], [RefersTo As Variant], [Visible As Variant], [MacroType As Variant], [ShortcutKey As Variant], [Category As Variant], [NameLocal As Variant], [RefersToLocal As Variant], [CategoryLocal As Variant], [RefersToR1C1 As Variant], [RefersToR1C1Local As Variant]) As Name",,PARTIAL,tests/fixtures/names_crud.json; tests/fixtures/excel_model/probes.txt; tests/fixtures/structured_references/structured.json,"MacroType, ShortcutKey and Category report unsupported. A structured reference in RefersTo is error 1004, as in Excel, and taken in RefersToR1C1."
Names,Application,"property, read-only",As Application,,MISSING,,
Names,Count,"property, read-only",As Long,,PARTIAL,tests/fixtures/names_crud.json; tests/fixtures/excel_model/probes.txt,
Names,Creator,"property, read-only",As XlCreator,,MISSING,,
Names,Item,method,"Item([Index As Variant], [IndexLocal As Variant], [RefersTo As Variant]) As Name","no IndexLocal, RefersTo",UNASSESSED,,
Names,Parent,"property, read-only",As Object,,MISSING,,
Panes,_Default,"property, read-only",As Pane,,MISSING,,
Panes,Application,"property, read-only",As Application,,MISSING,,
Panes,Count,"property, read-only",As Long,,VERIFIED,tests/fixtures/windows/windows.json,
Panes,Creator,"property, read-only",As XlCreator,,MISSING,,
Panes,Item,"property, read-only",As Pane,,PARTIAL,tests/fixtures/windows/windows.json,"A pane, scrolled on its own, reports itself as not implemented."
Panes,Parent,"property, read-only",As Object,,MISSING,,
Protection,AllowDeletingColumns,"property, read-only",As Boolean,,PARTIAL,tests/fixtures/protection.json; tests/fixtures/protection_file.json,"What the last Protect gave, which Unprotect leaves as it was. Saved and read as Excel saves and reads it."
Protection,AllowDeletingRows,"property, read-only",As Boolean,,PARTIAL,tests/fixtures/protection.json; tests/fixtures/protection_file.json,"What the last Protect gave, which Unprotect leaves as it was. Saved and read as Excel saves and reads it."
Protection,AllowEditRanges,"property, read-only",As AllowEditRanges,,MISSING,,
Protection,AllowFiltering,"property, read-only",As Boolean,,PARTIAL,tests/fixtures/protection.json; tests/fixtures/protection_file.json,"What the last Protect gave, which Unprotect leaves as it was. Saved and read as Excel saves and reads it."
Protection,AllowFormattingCells,"property, read-only",As Boolean,,PARTIAL,tests/fixtures/protection.json; tests/fixtures/protection_file.json,"What the last Protect gave, which Unprotect leaves as it was. Saved and read as Excel saves and reads it."
Protection,AllowFormattingColumns,"property, read-only",As Boolean,,PARTIAL,tests/fixtures/protection.json; tests/fixtures/protection_file.json,"What the last Protect gave, which Unprotect leaves as it was. Saved and read as Excel saves and reads it."
Protection,AllowFormattingRows,"property, read-only",As Boolean,,PARTIAL,tests/fixtures/protection.json; tests/fixtures/protection_file.json,"What the last Protect gave, which Unprotect leaves as it was. Saved and read as Excel saves and reads it."
Protection,AllowInsertingColumns,"property, read-only",As Boolean,,PARTIAL,tests/fixtures/protection.json; tests/fixtures/protection_file.json,"What the last Protect gave, which Unprotect leaves as it was. Saved and read as Excel saves and reads it."
Protection,AllowInsertingHyperlinks,"property, read-only",As Boolean,,PARTIAL,tests/fixtures/protection.json; tests/fixtures/protection_file.json,"What the last Protect gave, which Unprotect leaves as it was. Saved and read as Excel saves and reads it."
Protection,AllowInsertingRows,"property, read-only",As Boolean,,PARTIAL,tests/fixtures/protection.json; tests/fixtures/protection_file.json,"What the last Protect gave, which Unprotect leaves as it was. Saved and read as Excel saves and reads it."
Protection,AllowSorting,"property, read-only",As Boolean,,PARTIAL,tests/fixtures/protection.json; tests/fixtures/protection_file.json,"What the last Protect gave, which Unprotect leaves as it was. Saved and read as Excel saves and reads it."
Protection,AllowUsingPivotTables,"property, read-only",As Boolean,,PARTIAL,tests/fixtures/protection.json; tests/fixtures/protection_file.json,"What the last Protect gave, which Unprotect leaves as it was. Saved and read as Excel saves and reads it."
Queries,_Default,"property, read-only",As WorkbookQuery,,MISSING,,
Queries,_NewEnum,"property, read-only",As IUnknown,,MISSING,,
Queries,Add,method,"Add(Name As String, Formula As String, [Description As Variant]) As WorkbookQuery",,UNASSESSED,,
Queries,Application,"property, read-only",As Application,,MISSING,,
Queries,Count,"property, read-only",As Long,,UNASSESSED,,
Queries,Creator,"property, read-only",As XlCreator,,MISSING,,
Queries,FastCombine,property,As Boolean,,MISSING,,
Queries,Item,method,Item(NameOrIndex As Variant) As WorkbookQuery,no NameOrIndex,UNASSESSED,,
Queries,Parent,"property, read-only",As Object,,MISSING,,
Range,_Default,property,As Variant,,MISSING,,
Range,_NewEnum,"property, read-only",As IUnknown,,MISSING,,
Range,Activate,method,Activate() As Variant,,UNASSESSED,,
Range,AddComment,method,AddComment([Text As Variant]) As Comment,,MISSING,,
Range,AddCommentThreaded,method,AddCommentThreaded(Text As String) As CommentThreaded,,MISSING,,
Range,AddIndent,property,As Variant,,PARTIAL,tests/fixtures/range_format.json; tests/fixtures/format/formats_answers.json; tests/test_live_excel_model_gate.py,Measured with distributed alignment only.
Range,Address,"property, read-only",As String,,PARTIAL,tests/fixtures/excel_model/probes.txt,"A1 or R1C1 style; a relative R1C1 part counts from RelativeTo, or from A1 when it is left out, whatever is selected."
Range,AddressLocal,"property, read-only",As String,,PARTIAL,tests/fixtures/excel_model/probes.txt,"The same as Address, as an English Excel has it; the model keeps the English spelling."
Range,AdvancedFilter,method,"AdvancedFilter(Action As XlFilterAction, [CriteriaRange As Variant], [CopyToRange As Variant], [Unique As Variant]) As Variant",,MISSING,,
Range,AllocateChanges,method,AllocateChanges(),,MISSING,,
Range,AllowEdit,"property, read-only",As Boolean,,MISSING,,
Range,Application,"property, read-only",As Application,,UNASSESSED,,
Range,ApplyNames,method,"ApplyNames([Names As Variant], [IgnoreRelativeAbsolute As Variant], [UseRowColumnNames As Variant], [OmitColumn As Variant], [OmitRow As Variant], [Order As XlApplyNamesOrder], [AppendLast As Variant]) As Variant",,MISSING,,
Range,ApplyOutlineStyles,method,ApplyOutlineStyles() As Variant,,MISSING,,
Range,Areas,"property, read-only",As Areas,,PARTIAL,tests/fixtures/excel_model/probes.txt,
Range,AutoComplete,method,AutoComplete(String As String) As String,,MISSING,,
Range,AutoFill,method,"AutoFill(Destination As Range, [Type As XlAutoFillType]) As Variant",,PARTIAL,tests/fixtures/autofill.json,"Every fill type but Flash Fill, down, up or across, with Excel's series of numbers, dates, times, text and names; a trend through three or more uneven numbers, a growth trend, dates whose times differ, a destination running on two ways and merged cells report themselves unsupported."
Range,AutoFilter,method,"AutoFilter([Field As Variant], [Criteria1 As Variant], [Operator As XlAutoFilterOperator], [Criteria2 As Variant], [VisibleDropDown As Variant], [SubField As Variant]) As Variant",,PARTIAL,tests/fixtures/autofilter.json; tests/fixtures/autofilter_file/autofilter_file.json; tests/test_live_excel_model_gate.py,"Criteria of every kind but colour, icon, date-group and dynamic filters other than average; SubField and a hidden drop-down with no criteria report themselves unsupported."
Range,AutoFit,method,AutoFit() As Variant,,PARTIAL,tests/fixtures/dimensions.json; tests/fixtures/dimensions/dimensions_answers.json; tests/fixtures/font_rows.json,"Rows go back to the height their fonts give them and are shown; a row resting on something not measured, or a column whose cells hold values, reports unsupported, because AutoFit measures text."
Range,AutoOutline,method,AutoOutline() As Variant,,MISSING,,
Range,BorderAround,method,"BorderAround([LineStyle As Variant], [Weight As XlBorderWeight], [ColorIndex As XlColorIndex], [Color As Variant], [ThemeColor As Variant]) As Variant",,PARTIAL,tests/fixtures/range_format.json; tests/fixtures/format/formats_answers.json; tests/fixtures/format/border_storage.json; tests/test_live_excel_model_gate.py,The ColorIndex and ThemeColor arguments and the return value are unmeasured.
Range,Borders,"property, read-only",As Borders,,VERIFIED,tests/fixtures/range_format.json; tests/fixtures/format/formats_answers.json; tests/test_live_excel_model_gate.py,
Range,Calculate,method,Calculate() As Variant,,PARTIAL,tests/fixtures/excel_model/probes.txt,Works the range's formulas out again and answers Null.
Range,CalculateRowMajorOrder,method,CalculateRowMajorOrder() As Variant,,MISSING,,
Range,CellControl,"property, read-only",As CellControl,,MISSING,,
Range,Cells,"property, read-only",As Range,,PARTIAL,tests/fixtures/excel_model/probes.txt,
Range,Characters,"property, read-only",As Characters,,MISSING,,
Range,CheckSpelling,method,"CheckSpelling([CustomDictionary As Variant], [IgnoreUppercase As Variant], [AlwaysSuggest As Variant], [SpellLang As Variant]) As Variant",,MISSING,,
Range,Clear,method,Clear() As Variant,,PARTIAL,tests/fixtures/excel_model/probes.txt; tests/fixtures/row_formats/row_formats.json; tests/test_live_excel_model_gate.py; tests/fixtures/autofilter_edits.json,"A position a row or column format reaches keeps a cell in the default format. On a filtered sheet only the visible cells clear, and clearing a filter's whole header row turns the filter off."
Range,ClearComments,method,ClearComments(),,MISSING,,
Range,ClearContents,method,ClearContents([RemoveControls As Variant]) As Variant,no RemoveControls,PARTIAL,tests/fixtures/excel_model/probes.txt; tests/fixtures/row_formats/row_formats.json; tests/fixtures/autofilter_edits.json,"An emptied cell in the format its row or column gives it goes. On a filtered sheet only the visible cells clear, and clearing a filter's whole header row turns the filter off."
Range,ClearFormats,method,ClearFormats() As Variant,,VERIFIED,tests/fixtures/range_format.json; tests/fixtures/format/formats_answers.json; tests/test_live_excel_model_gate.py; tests/fixtures/row_formats/row_formats.json; tests/fixtures/autofilter_edits.json,"Whole rows and columns lose their own formats, and positions a column's or row's format still reaches get a cell in the default format. On a filtered sheet only the visible cells, and clearing a filter's whole header row turns the filter off."
Range,ClearHyperlinks,method,ClearHyperlinks(),,MISSING,,
Range,ClearNotes,method,ClearNotes() As Variant,,MISSING,,
Range,ClearOutline,method,ClearOutline() As Variant,,MISSING,,
Range,Column,"property, read-only",As Long,,PARTIAL,tests/fixtures/excel_model/probes.txt,
Range,ColumnDifferences,method,ColumnDifferences(Comparison As Variant) As Range,,MISSING,,
Range,Columns,"property, read-only",As Range,,PARTIAL,tests/fixtures/excel_model/probes.txt,
Range,ColumnWidth,property,As Variant,,PARTIAL,tests/fixtures/dimensions.json; tests/fixtures/dimensions/dimensions_answers.json,Measured for Aptos Narrow 11 and Calibri 11 as the Normal font on a 96-DPI display; with another Normal font the file's own standard sizes stand. A read across several rows or columns compares inside the sheet's current used block; Excel's can stay larger for the rest of a session after a column is hidden.
Range,Comment,"property, read-only",As Comment,,MISSING,,
Range,CommentThreaded,"property, read-only",As CommentThreaded,,MISSING,,
Range,Consolidate,method,"Consolidate([Sources As Variant], [Function As Variant], [TopRow As Variant], [LeftColumn As Variant], [CreateLinks As Variant]) As Variant",,MISSING,,
Range,ConvertToLinkedDataType,method,"ConvertToLinkedDataType(ServiceID As Long, LanguageCulture As String)",,MISSING,,
Range,Copy,method,Copy([Destination As Variant]) As Variant,,PARTIAL,tests/fixtures/range_copy.json; tests/fixtures/range_copy_names.json; tests/fixtures/row_formats/row_formats.json; tests/fixtures/paste.json; tests/fixtures/autofilter_edits.json,"To a destination, or onto the clipboard for Paste and PasteSpecial. Several areas close up, stacked or side by side, pasting their formulas as the values they show except through PasteSpecial; on a filtered sheet the visible cells go, into each visible block of the destination. Merged cells and destinations over 1,048,576 cells report unsupported. Whole rows and columns carry their formats, and cells the format each one showed."
Range,CopyFromRecordset,method,"CopyFromRecordset(Data As IUnknown, [MaxRows As Variant], [MaxColumns As Variant]) As Long",,MISSING,,
Range,CopyPicture,method,"CopyPicture([Appearance As XlPictureAppearance], [Format As XlCopyPictureFormat]) As Variant",,MISSING,,
Range,Count,"property, read-only",As Long,,PARTIAL,tests/fixtures/excel_model/probes.txt,"The rows of whole rows (Rows.Count is 1048576), the columns of whole columns, else the cells; past a Long, error 6, as Cells.Count is."
Range,CountLarge,"property, read-only",As Variant,,PARTIAL,tests/fixtures/excel_model/probes.txt,"Count as a LongLong: the rows of whole rows, the columns of whole columns, else the cells, Cells.CountLarge 17179869184."
Range,CreateNames,method,"CreateNames([Top As Variant], [Left As Variant], [Bottom As Variant], [Right As Variant]) As Variant",,MISSING,,
Range,Creator,"property, read-only",As XlCreator,,MISSING,,
Range,CurrentArray,"property, read-only",As Range,,VERIFIED,tests/fixtures/excel_model/probes.txt,"The array formula block of the range's first cell, error 1004 when it is part of none."
Range,CurrentRegion,"property, read-only",As Range,,VERIFIED,tests/fixtures/current_region.json,"From the first area's top-left cell, grown while the ring around it holds a value or formula, corners included; merged areas count by their first cell and are taken in whole."
Range,Cut,method,Cut([Destination As Variant]) As Variant,,PARTIAL,tests/fixtures/paste.json; tests/fixtures/excel_model/probes.txt; tests/fixtures/autofilter_edits.json; tests/fixtures/cut_references.json,"Moves cells and every reference wholly inside them, names included, and a formula moved to another sheet keeps pointing where it did; a reference losing a whole edge to the block keeps the rest across sheets and takes the edge along on its own sheet. Merged cells, another workbook, and whole rows or columns with sizes or formats of their own report themselves unsupported. A cut of a filter's whole range moves the filter along its sheet with its criteria cleared, or takes it away to another."
Range,DataSeries,method,"DataSeries([Rowcol As Variant], [Type As XlDataSeriesType], [Date As XlDataSeriesDate], [Step As Variant], [Stop As Variant], [Trend As Variant]) As Variant",,MISSING,,
Range,DataTypeToText,method,DataTypeToText(),,MISSING,,
Range,Delete,method,Delete([Shift As Variant]) As Variant,,PARTIAL,tests/fixtures/range_edit.json; tests/fixtures/excel_model/probes.txt; tests/fixtures/row_formats/row_formats.json; tests/fixtures/autofilter_edits.json; tests/fixtures/cell_shifts.json,"Whole rows and columns rewrite references and take their formats with them, several areas of them the last first. Cells shifted up or left rewrite references as Excel does, a reference reaching outside the shifting band kept unless it loses a whole edge of itself; with no Shift a range taller than it is wide shifts left. Sheets with merges or shapes, several areas of cells, and sheets whose rows or columns carry formats report unsupported. On a filtered sheet a delete takes the visible rows whole, anywhere on the sheet, unless it pulls cells left."
Range,Dependents,"property, read-only",As Range,,MISSING,,
Range,DialogBox,method,DialogBox() As Variant,,MISSING,,
Range,DirectDependents,"property, read-only",As Range,,MISSING,,
Range,DirectPrecedents,"property, read-only",As Range,,MISSING,,
Range,Dirty,method,Dirty(),,MISSING,,
Range,DiscardChanges,method,DiscardChanges(),,MISSING,,
Range,DisplayFormat,"property, read-only",As DisplayFormat,,MISSING,,
Range,EditionOptions,method,"EditionOptions(Type As XlEditionType, Option As XlEditionOptionsOption, [Name As Variant], [Reference As Variant], [Appearance As XlPictureAppearance], [ChartSize As XlPictureAppearance], [Format As Variant]) As Variant",,MISSING,,
Range,End,"property, read-only",As Range,,PARTIAL,tests/fixtures/excel_model/probes.txt; tests/fixtures/current_region.json,Walks over cells with only a format as over empty ones; merged cells and hidden rows are not measured.
Range,EntireColumn,"property, read-only",As Range,,PARTIAL,tests/fixtures/excel_model/probes.txt; tests/fixtures/row_formats/row_formats.json,"Whole rows, whole columns and the whole sheet are formatted through their own formats, as Excel keeps them."
Range,EntireRow,"property, read-only",As Range,,PARTIAL,tests/fixtures/excel_model/probes.txt; tests/fixtures/row_formats/row_formats.json,"Whole rows, whole columns and the whole sheet are formatted through their own formats, as Excel keeps them."
Range,Errors,"property, read-only",As Errors,,MISSING,,
Range,ExportAsFixedFormat,method,"ExportAsFixedFormat(Type As XlFixedFormatType, [Filename As Variant], [Quality As Variant], [IncludeDocProperties As Variant], [IgnorePrintAreas As Variant], [From As Variant], [To As Variant], [OpenAfterPublish As Variant], [FixedFormatExtClassPtr As Variant], [WorkIdentity As Variant])",,MISSING,,
Range,FillDown,method,FillDown() As Variant,,PARTIAL,tests/fixtures/fill.json; tests/fixtures/autofilter_edits.json,"Copies each area's first row over the rest as Copy does; a one-row area fills from the row above. A fill over merged cells reports itself unsupported. On a filtered sheet the first visible row fills every other visible one, and one visible block fills as a range of its own."
Range,FillLeft,method,FillLeft() As Variant,,PARTIAL,tests/fixtures/fill.json; tests/fixtures/autofilter_edits.json,Copies each area's last column over the rest as Copy does; a one-column area fills from the column to its right. A fill over merged cells reports itself unsupported. On a filtered sheet each visible block fills on its own.
Range,FillRight,method,FillRight() As Variant,,PARTIAL,tests/fixtures/fill.json; tests/fixtures/autofilter_edits.json,Copies each area's first column over the rest as Copy does; a one-column area fills from the column to its left. A fill over merged cells reports itself unsupported. On a filtered sheet each visible block fills on its own.
Range,FillUp,method,FillUp() As Variant,,PARTIAL,tests/fixtures/fill.json; tests/fixtures/autofilter_edits.json,"Copies each area's last row over the rest as Copy does; a one-row area fills from the row below. A fill over merged cells reports itself unsupported. On a filtered sheet the last visible row fills every other visible one, and one visible block fills as a range of its own."
Range,Find,method,"Find(What As Variant, [After As Variant], [LookIn As Variant], [LookAt As Variant], [SearchOrder As Variant], [SearchDirection As XlSearchDirection], [MatchCase As Variant], [MatchByte As Variant], [SearchFormat As Variant]) As Range",,PARTIAL,tests/fixtures/range_find.json,"One area only; multi-area, comment and format searches and MatchByte:=True report unsupported."
Range,FindNext,method,FindNext([After As Variant]) As Range,,PARTIAL,tests/fixtures/range_find.json,"One area only; multi-area, comment and format searches and MatchByte:=True report unsupported."
Range,FindPrevious,method,FindPrevious([After As Variant]) As Range,,PARTIAL,tests/fixtures/range_find.json,"One area only; multi-area, comment and format searches and MatchByte:=True report unsupported."
Range,FlashFill,method,FlashFill(),,MISSING,,
Range,Font,"property, read-only",As Font,,PARTIAL,tests/fixtures/excel_model/probes.txt; tests/fixtures/row_formats/row_formats.json,"Whole rows, whole columns and the whole sheet are formatted through their own formats, as Excel keeps them."
Range,FormatConditions,"property, read-only",As FormatConditions,,MISSING,,
Range,Formula,property,As Variant,,PARTIAL,tests/fixtures/formula_a1_arrays.json; tests/fixtures/excel_model/probes.txt; tests/fixtures/number_spelling.json; tests/fixtures/typing_formats.json; tests/fixtures/autofilter_edits.json,"A constant number reads back as Excel spells it there; what is not a formula is typed as Value types it, and a Text cell keeps even a formula as text. On a filtered sheet only the visible cells take it, the formula moving from the range's own top-left cell; a two-dimensional array written to several areas wider than one column reports itself unsupported."
Range,Formula2,property,As Variant,,PARTIAL,tests/fixtures/implicit_intersection.json,"Reads a formula Range.Formula wrote with an @ where it cuts cells to one value, as 2100 live formulas show; writes a formula whose Formula2 is a legacy formula's. A dynamic-array formula, which spills, reports itself."
Range,Formula2Local,property,As Variant,,MISSING,,
Range,Formula2R1C1,property,As Variant,,PARTIAL,tests/fixtures/implicit_intersection.json,"Formula2 in R1C1 notation, read and written as Formula2 is."
Range,Formula2R1C1Local,property,As Variant,,MISSING,,
